OBJECTID,ORIG_FID,fault_name,section_name,fault_id,section_id,Location,linetype,age,dip_direction,slip_rate,slip_sense,mapped_scale,class,mapped_certainty,strike,total_fault_length,cooperators,earthquake,last_review,fault_url,symbology,ref_id,Fault_ID_num,Shape_Length,POINT_X,POINT_Y
32,1403,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.018192464536325,-120.193765018999954,42.558710351000059
33,1404,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.026550032677732,-120.250518126999964,42.487633029000051
34,1404,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.026550032677732,-120.251810906999992,42.481401254000048
35,1404,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.026550032677732,-120.252864668999962,42.475118248000058
36,1404,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.026550032677732,-120.253621674999977,42.468781488000047
37,1405,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.016581788574564,-120.248055324999939,42.510162104000074
38,1405,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.016581788574564,-120.248686363999980,42.503803556000037
39,1406,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.008278817299717,-120.240902784999946,42.508827023000038
40,1407,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.011939573471964,-120.233066504999954,42.520195160000071
41,1409,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.022738397501242,-120.187537492999979,42.567542841000034
