OBJECTID,ORIG_FID,FCLASS,URBAN_CODE,ROUNDED_SPEED,Volume,Capacity,VCR,Artificial,Shape_Length,MODE_TYPE,MILES,POINT_X,POINT_Y
5633,117368,3,64945,25,2348.000000000000000,11358.700854700849959,0.206713780918729,0,1205.244760879451860,road,0.748902876196717,-1333637.340499997138977,351146.558600001037121
5634,117369,3,64945,25,7926.000000000000000,13401.690851735000251,0.591417910447762,0,791.805393033072960,road,0.492004077078789,-1335460.118699997663498,353493.471799999475479
5635,117370,3,64945,25,8797.000000000000000,13416.467298578199916,0.655686761963953,0,831.386232961258429,road,0.516598421585933,-1335318.019599996507168,354292.466299999505281
5636,117371,3,64945,45,8681.000000000000000,13442.624399615750008,0.645781637717119,0,183.594706266938800,road,0.114080233360628,-1334981.821900002658367,356174.560800001025200
5637,117372,3,64945,45,2798.000000000000000,13273.332402234649635,0.210798608458638,0,2020.288679521203903,road,1.255346674759310,-1332776.906900003552437,350287.566100001335144
5638,117373,3,64945,25,10614.000000000000000,21178.970934799701354,0.501157494038573,0,710.932332530112035,road,0.441751987558562,-1332086.390299998223782,350318.942699998617172
5639,117374,3,64945,25,2348.000000000000000,11358.700854700849959,0.206713780918729,0,167.599063131554715,road,0.104141021393455,-1332972.479400001466274,351081.743799999356270
5640,117375,3,64945,40,10614.000000000000000,25439.779654359801498,0.417220594840372,0,128.983298425513794,road,0.080146345628354,-1332519.910300001502037,351682.243099998682737
5641,117376,3,64945,40,10614.000000000000000,25406.426944226248452,0.417768308125362,0,1066.585572152275063,road,0.662744223100301,-1332513.354800000786781,351097.754000000655651
5642,117377,3,64945,45,7568.000000000000000,26921.409691629949521,0.281114551083592,0,819.650965413534777,road,0.509306478982495,-1331202.153999999165535,348605.113000001758337
5643,117378,3,64945,45,20040.000000000000000,21437.517517517499073,0.934809731752964,0,158.655996285713542,road,0.098584068399125,-1330408.340999998152256,357596.699900001287460
5644,117379,3,64945,45,10631.000000000000000,26491.196470588249213,0.401303127693875,0,73.172215352589859,road,0.045467015758072,-1331089.212399996817112,359615.212000001221895
5645,117380,3,64945,50,7175.000000000000000,26435.175377468051011,0.271418664621971,0,344.432236890198737,road,0.214019841640895,-1330976.761299997568130,360238.567200001329184
5646,117381,3,64945,55,7175.000000000000000,26435.175377468051011,0.271418664621971,0,51.948145402138245,road,0.032279016484883,-1330941.919799998402596,360433.666200000792742
5647,117382,3,64945,55,3464.000000000000000,19810.519305019301100,0.174856597480630,0,470.088598866816255,road,0.292098928936025,-1330218.613200001418591,365597.719599999487400
5648,117383,3,64945,55,3464.000000000000000,9871.818532818550011,0.350897860255843,0,329.068638336211734,road,0.204473363183344,-1328858.486699998378754,365305.680799998342991
5649,117384,3,64945,55,3464.000000000000000,9871.818532818550011,0.350897860255843,0,75.009139379351751,road,0.046608425147807,-1328660.437600001692772,365266.153299998492002
5650,117385,3,64945,55,3464.000000000000000,10018.959459459449135,0.345744487141273,0,951.092796871073119,road,0.590980483156789,-1328156.861199997365475,365168.010000001639128
5651,118026,3,64945,25,2348.000000000000000,11358.700854700849959,0.206713780918729,0,637.760102514652203,road,0.396284962689423,-1334544.766900002956390,351306.503199998289347
5652,118027,3,64945,30,10033.000000000000000,13581.739319620250171,0.738712455296962,0,1240.614871473947687,road,0.770880800030450,-1326828.092100001871586,360855.521099999547005
5653,118028,3,64945,35,12613.000000000000000,18806.554612937448837,0.670670426326961,0,375.716547748580183,road,0.233458972298952,-1330779.092500001192093,349807.339099999517202
5654,118029,3,64945,40,1697.000000000000000,12844.137931034500070,0.132122530068728,0,26.592766276565264,road,0.016523945838200,-1328844.157799996435642,372267.673300001770258
5655,118030,3,64945,40,4900.000000000000000,13158.333333333350311,0.372387587080429,0,85.938507359684934,road,0.053399605977759,-1328373.308499999344349,344045.382500000298023
5656,118031,3,64945,40,10174.000000000000000,25376.624590163948596,0.400920144594151,0,429.928185858989195,road,0.267144455133655,-1332470.556699998676777,351957.305599998682737
5657,118032,3,64945,40,10355.000000000000000,25620.704508856699249,0.404165310771233,0,677.886062314083574,road,0.421218028303432,-1328621.037699997425079,344245.959499999880791
5658,118033,3,64945,40,10964.000000000000000,25288.069961977198545,0.433564127926146,0,1331.231347871755133,road,0.827187155393166,-1332271.405900001525879,353068.848799999803305
5659,118034,3,64945,40,11803.000000000000000,28724.735941320301208,0.410900208938787,0,1099.243387085103905,road,0.683036807915728,-1326488.274099998176098,359367.418900001794100
5660,118035,3,64945,40,12039.000000000000000,25620.392659279801592,0.469899121379759,0,1741.823715250153782,road,1.082316913974090,-1329086.839299999177456,345356.941599998623133
5661,118036,3,64945,40,13528.000000000000000,25322.282193468898186,0.534233048057933,0,248.670159850277741,road,0.154516164667068,-1332411.113600000739098,352291.350900001823902
5662,118037,3,64945,40,20040.000000000000000,29334.494494494498213,0.683154775472988,0,458.515977612731376,road,0.284908049851850,-1329745.841799996793270,357780.626200001686811
5663,118038,3,64945,40,20878.000000000000000,25879.338323353298620,0.806743964592011,0,882.548507501794688,road,0.548389121533233,-1330588.484899997711182,348160.145599998533726
5664,118039,3,64945,40,20878.000000000000000,25879.338323353298620,0.806743964592011,0,235.943838102919358,road,0.146608410765656,-1330036.802100002765656,348068.605599999427795
5665,118040,3,64945,45,4234.000000000000000,25687.377952755901788,0.164828033744322,0,1123.652159552309740,road,0.698203685630910,-1327356.574299998581409,324577.638099998235703
5666,118041,3,64945,45,7444.000000000000000,36914.049272116448265,0.201657638400102,0,253.645892596306226,road,0.157607935472168,-1328065.135700002312660,360781.828400000929832
5667,118042,3,64945,45,7962.000000000000000,26870.707853403149784,0.296307787775365,0,1163.787106469984110,road,0.723142335570127,-1331649.966200001537800,349489.945000000298023
5668,118043,3,64945,45,9212.000000000000000,13472.028959276000023,0.683787128712872,0,3187.785845900018103,road,1.980794330067610,-1334543.213100001215935,358615.250000000000000
5669,118044,3,64945,45,9232.000000000000000,13427.574525745250867,0.687540402944632,0,1404.445311608069460,road,0.872680112342325,-1335120.384400002658367,355392.761100001633167
5670,118045,3,64945,45,10214.000000000000000,25455.789387755099597,0.401244677366525,0,388.808705378183561,road,0.241594045624039,-1330670.395499996840954,357518.053399998694658
5671,118046,3,64945,45,10964.000000000000000,26697.131558935350768,0.410680824484696,0,400.444951183712647,road,0.248824459092531,-1332120.324299998581409,353921.381700001657009
5672,118047,3,64945,45,11062.000000000000000,26526.657874905798963,0.417014463418878,0,803.594941560278698,road,0.499329748251707,-1331171.631700001657009,359184.646999999880791
5673,118048,3,64945,45,11181.000000000000000,26989.483221476501058,0.414272474513439,0,2153.735122142582895,road,1.338266284071240,-1330436.166599996387959,347340.190400000661612
5674,118049,3,64945,45,12256.000000000000000,26654.715646258500783,0.459806068188927,0,2318.631290151530720,road,1.440727807658870,-1331882.832000002264977,355260.000799998641014
5675,118050,3,64945,45,16063.000000000000000,27058.703165542301576,0.593635249321753,0,462.138981900567103,road,0.287159275843203,-1331723.258900001645088,348356.789000000804663
5676,118051,3,64945,45,16337.000000000000000,26806.836734693901235,0.609434084360142,0,1148.382223620413470,road,0.713570204291914,-1332515.205799996852875,348502.082800000905991
5677,118052,3,64945,45,18780.000000000000000,26607.792276964049961,0.705808276181523,0,721.952490309052678,road,0.448599582441089,-1331616.274300001561642,356756.643800001591444
